team,epa_off_per_play,total_epa_off,success_rate_off,source_off,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,source_def,team_name,net_epa_per_play,last_updated,source,epa_off_per_pass,epa_off_per_rush,pass_yards_off,comp_pct_off,pass_td_off,rush_yards_off,rush_td_off,adot_off,sack_pct_off,scramble_pct_off,int_pct_off,epa_def_allowed_per_pass,epa_def_allowed_per_rush,pass_yards_def_allowed,comp_pct_def_allowed,pass_td_def_allowed,rush_yards_def_allowed,rush_td_def_allowed,adot_def_allowed,sack_pct_def,scramble_pct_def_allowed,int_pct_def
CHI,0.02,9.06,0.4312,sumersports_offensive_week8,0.0,0.0,0.44,sumersports_defensive_week8,Bears,0.02,2025-10-29 15:54:32,sumersports_combined_week8,0.07,-0.05,1663,0.6195,9,872,7,8.51,0.0474,0.0593,0.0158,0.0,0.0,1663,0.6195,9,872,7,8.51,0.0474,0.0593,0.0158
TB,0.02,9.31,0.4102,sumersports_offensive_week8,-0.08,-38.66,0.4303,sumersports_defensive_week8,Buccaneers,0.1,2025-10-29 15:54:32,sumersports_combined_week8,0.05,-0.03,1919,0.6394,13,785,6,8.83,0.0561,0.0561,0.0066,-0.06,-0.1,2025,0.6738,11,741,7,7.47,0.0755,0.0816,0.0211
HOU,0.02,7.86,0.4211,sumersports_offensive_week8,-0.13,-52.01,0.3929,sumersports_defensive_week8,Texans,0.15,2025-10-29 15:54:32,sumersports_combined_week8,0.05,-0.03,1773,0.6364,9,788,4,7.36,0.0609,0.0326,0.0362,-0.21,-0.01,1375,0.5806,6,619,7,8.77,0.0661,0.0372,0.0331
SF,0.0,0.25,0.4667,sumersports_offensive_week8,0.03,14.05,0.4665,sumersports_defensive_week8,49ers,-0.03,2025-10-29 15:54:32,sumersports_combined_week8,0.07,-0.11,2183,0.6589,12,715,3,7.83,0.0492,0.0308,0.0277,0.09,-0.06,1894,0.6741,13,863,4,8.68,0.0306,0.051,0.0034
JAX,-0.01,-3.0,0.4345,sumersports_offensive_week8,-0.04,-17.12,0.4239,sumersports_defensive_week8,Jaguars,0.03,2025-10-29 15:54:32,sumersports_combined_week8,-0.04,0.05,1620,0.5869,9,838,6,8.31,0.0683,0.0478,0.0171,-0.02,-0.06,1779,0.6187,15,638,4,9.51,0.0286,0.0536,0.0357
MIA,-0.01,-6.27,0.4009,sumersports_offensive_week8,0.11,53.36,0.4681,sumersports_defensive_week8,Dolphins,-0.12,2025-10-29 15:54:32,sumersports_combined_week8,-0.02,0.0,1611,0.6867,15,788,4,6.82,0.0652,0.0326,0.0362,0.17,0.04,1692,0.7366,11,1160,10,6.76,0.0581,0.0736,0.0039
NYG,-0.04,-20.61,0.4074,sumersports_offensive_week8,0.08,41.66,0.4598,sumersports_defensive_week8,Giants,-0.12,2025-10-29 15:54:32,sumersports_combined_week8,-0.05,-0.02,1770,0.5945,11,944,10,9.5,0.082,0.0852,0.0197,0.03,0.16,2006,0.6441,13,1191,10,8.07,0.0579,0.0427,0.0122
NYJ,-0.05,-23.02,0.4417,sumersports_offensive_week8,0.09,46.43,0.4172,sumersports_defensive_week8,Jets,-0.14,2025-10-29 15:54:32,sumersports_combined_week8,-0.04,-0.05,1472,0.6371,9,1149,6,7.38,0.1023,0.1155,0.0099,0.16,0.02,1666,0.6356,15,1086,8,6.58,0.0417,0.0644,0.0
CAR,-0.05,-25.9,0.4438,sumersports_offensive_week8,0.06,28.8,0.3991,sumersports_defensive_week8,Panthers,-0.11,2025-10-29 15:54:32,sumersports_combined_week8,-0.1,0.01,1581,0.6245,12,1095,4,7.36,0.0648,0.0444,0.0205,0.1,0.0,1676,0.6352,11,893,9,7.82,0.0478,0.0551,0.0221
CIN,-0.05,-23.93,0.4401,sumersports_offensive_week8,0.17,88.01,0.5038,sumersports_defensive_week8,Bengals,-0.22000000000000003,2025-10-29 15:54:32,sumersports_combined_week8,-0.1,0.05,1730,0.6364,15,663,5,7.42,0.0609,0.0224,0.0256,0.24,0.07,2106,0.6815,19,1215,10,7.26,0.037,0.0539,0.0269
ATL,-0.06,-26.06,0.4305,sumersports_offensive_week8,-0.02,-8.17,0.4504,sumersports_defensive_week8,Falcons,-0.039999999999999994,2025-10-29 15:54:32,sumersports_combined_week8,-0.07,-0.05,1611,0.6223,5,863,7,8.26,0.0395,0.0395,0.0119,-0.07,0.03,1139,0.6175,11,885,4,8.66,0.0748,0.0701,0.028
MIN,-0.11,-44.46,0.44,sumersports_offensive_week8,-0.04,-14.91,0.4245,sumersports_defensive_week8,Vikings,-0.07,2025-10-29 15:54:32,sumersports_combined_week8,-0.09,-0.14,1591,0.6393,9,657,5,7.93,0.1077,0.05,0.0308,-0.08,0.02,1428,0.6828,11,913,5,7.12,0.0822,0.0685,0.0137
NO,-0.14,-69.92,0.4232,sumersports_offensive_week8,0.0,-1.76,0.4338,sumersports_defensive_week8,Saints,-0.14,2025-10-29 15:54:32,sumersports_combined_week8,-0.17,-0.08,1733,0.6621,8,749,3,8.33,0.0608,0.0578,0.0213,0.09,-0.11,1671,0.674,14,994,7,8.15,0.0654,0.0615,0.0154
LV,-0.18,-70.75,0.3919,sumersports_offensive_week8,0.04,15.5,0.447,sumersports_defensive_week8,Raiders,-0.22,2025-10-29 15:54:32,sumersports_combined_week8,-0.12,-0.26,1425,0.6618,7,656,3,7.02,0.0826,0.0304,0.0435,0.15,-0.13,1677,0.6737,11,724,9,7.68,0.057,0.0456,0.0114
CLE,-0.18,-92.31,0.3359,sumersports_offensive_week8,-0.07,-32.96,0.387,sumersports_defensive_week8,Browns,-0.10999999999999999,2025-10-29 15:54:32,sumersports_combined_week8,-0.27,-0.02,1517,0.5894,7,716,6,7.0,0.0608,0.0213,0.0243,0.03,-0.2,1627,0.6652,15,754,3,8.21,0.092,0.0498,0.023
TEN,-0.21,-99.84,0.3814,sumersports_offensive_week8,0.1,48.63,0.4309,sumersports_defensive_week8,Titans,-0.31,2025-10-29 15:54:32,sumersports_combined_week8,-0.26,-0.11,1615,0.5766,5,643,3,8.35,0.1069,0.0314,0.0189,0.18,0.01,1835,0.7246,12,1141,14,6.89,0.0595,0.0632,0.0149
BAL,0.0,0.0,0.45,sumersports_offensive_week8,0.13,60.13,0.4796,sumersports_defensive_week8,Ravens,-0.13,2025-10-29 15:54:32,sumersports_combined_week8,0.0,0.0,1500,0.65,10,800,5,8.0,0.05,0.05,0.02,0.16,0.07,1817,0.6811,14,902,10,8.28,0.0325,0.0505,0.0072
ARI,0.0,0.0,0.45,sumersports_offensive_week8,0.02,7.09,0.4621,sumersports_defensive_week8,Cardinals,-0.02,2025-10-29 15:54:32,sumersports_combined_week8,0.0,0.0,1500,0.65,10,800,5,8.0,0.05,0.05,0.02,0.07,-0.08,1724,0.6353,8,706,7,8.25,0.0418,0.0314,0.0139
SEA,0.0,0.0,0.45,sumersports_offensive_week8,-0.04,-18.11,0.4087,sumersports_defensive_week8,Seahawks,0.04,2025-10-29 15:54:32,sumersports_combined_week8,0.0,0.0,1500,0.65,10,800,5,8.0,0.05,0.05,0.02,0.04,-0.19,1776,0.6522,11,530,2,7.64,0.0728,0.0538,0.0253
WAS,0.0,0.0,0.45,sumersports_offensive_week8,0.07,33.94,0.4345,sumersports_defensive_week8,Commanders,-0.07,2025-10-29 15:54:32,sumersports_combined_week8,0.0,0.0,1500,0.65,10,800,5,8.0,0.05,0.05,0.02,0.13,-0.01,2087,0.6546,15,1030,6,8.58,0.0769,0.0524,0.014
