team,epa_off_per_play,total_epa_off,success_rate_off,epa_pass_off,epa_rush_off,source_off,epa_def_allowed_per_play,total_epa_def_allowed,success_rate_def,epa_pass_def_allowed,epa_rush_def_allowed,source_def,team_name,net_epa_per_play,net_epa_pass,net_epa_rush,last_updated,source
LAC,-0.01,-10.55,0.4454,-0.03,0.0,sumersports_offensive_latest,-0.04,-26.59,0.4168,-0.08,0.01,sumersports_defensive_latest,Chargers,0.03,0.05,-0.01,2025-11-19 21:38:36.211288,sumersports_latest_combined
LV,-0.17,-96.36,0.4025,-0.13,-0.22,sumersports_offensive_latest,0.02,12.27,0.4581,0.1,-0.08,sumersports_defensive_latest,Raiders,-0.19,-0.23,-0.14,2025-11-19 21:38:36.211288,sumersports_latest_combined
MIA,-0.01,-3.61,0.4127,0.01,-0.02,sumersports_offensive_latest,0.1,63.43,0.4702,0.18,0.0,sumersports_defensive_latest,Dolphins,-0.11,-0.16999999999999998,-0.02,2025-11-19 21:38:36.211288,sumersports_latest_combined
MIN,-0.11,-65.05,0.4268,-0.14,-0.06,sumersports_offensive_latest,-0.03,-21.58,0.4239,-0.05,-0.01,sumersports_defensive_latest,Vikings,-0.08,-0.09000000000000001,-0.049999999999999996,2025-11-19 21:38:36.211288,sumersports_latest_combined
NE,0.08,28.92,0.4465999999999999,-0.17,0.064,sumersports_detailed_offensive,0.04,12.71,0.4735,-0.13,0.032,sumersports_detailed_defensive,Patriots,0.04,-0.04,0.032,2025-10-15 23:54:16.194054,sumersports_detailed_combined
NO,-0.08,-21.07,0.4349,-0.03,-0.04,sumersports_detailed_offensive,0.01,3.8,0.4484,-0.11,0.008,sumersports_detailed_defensive,Saints,-0.09,0.08,-0.048,2025-10-15 23:54:16.194054,sumersports_detailed_combined
NYG,0.0,-0.42,0.4181,-0.02,0.02,sumersports_offensive_latest,0.11,76.84,0.4644,0.07,0.16,sumersports_defensive_latest,Giants,-0.11,-0.09000000000000001,-0.14,2025-11-19 21:38:36.211288,sumersports_latest_combined
NYJ,-0.07,-42.59,0.4266,-0.09,-0.04,sumersports_offensive_latest,0.08,50.68,0.4138,0.14,0.01,sumersports_defensive_latest,Jets,-0.15000000000000002,-0.23,-0.05,2025-11-19 21:38:36.211288,sumersports_latest_combined
PHI,0.02,9.19,0.4191,0.07,-0.04,sumersports_offensive_latest,-0.06,-40.1,0.43060000000000004,-0.07,-0.04,sumersports_defensive_latest,Eagles,0.08,0.14,0.0,2025-11-19 21:38:36.211288,sumersports_latest_combined
PIT,0.01,4.77,0.4252,0.03,-0.03,sumersports_offensive_latest,0.01,5.15,0.44229999999999997,0.0,0.02,sumersports_defensive_latest,Steelers,0.0,0.03,-0.05,2025-11-19 21:38:36.211288,sumersports_latest_combined
SEA,0.03,15.55,0.4587,0.18,-0.12,sumersports_offensive_latest,-0.07,-44.68,0.4155,-0.03,-0.14,sumersports_defensive_latest,Seahawks,0.1,0.21,0.020000000000000018,2025-11-19 21:38:36.211288,sumersports_latest_combined
SF,0.05,34.56,0.4843,0.14,-0.08,sumersports_offensive_latest,0.08,53.07,0.4876,0.14,-0.02,sumersports_defensive_latest,49ers,-0.03,0.0,-0.06,2025-11-19 21:38:36.211288,sumersports_latest_combined
TB,0.03,18.84,0.42310000000000003,0.03,0.03,sumersports_offensive_latest,-0.02,-15.17,0.4267,0.0,-0.06,sumersports_defensive_latest,Buccaneers,0.05,0.03,0.09,2025-11-19 21:38:36.211288,sumersports_latest_combined
TEN,-0.2,-114.47,0.3787,-0.22,-0.14,sumersports_offensive_latest,0.08,47.64,0.4434,0.14,0.0,sumersports_defensive_latest,Titans,-0.28,-0.36,-0.14,2025-11-19 21:38:36.211288,sumersports_latest_combined
WAS,0.03,17.72,0.4681,0.03,0.03,sumersports_offensive_latest,0.13,86.7,0.46740000000000004,0.23,0.01,sumersports_defensive_latest,Commanders,-0.1,-0.2,0.019999999999999997,2025-11-19 21:38:36.211288,sumersports_latest_combined
