week,game,favorite,underdog,spread,actual_margin,margin_vs_spread,underdog_covered,favorite_covered,fav_off_epa,fav_def_epa,dog_off_epa,dog_def_epa,matchup_epa_diff,net_epa_diff,fav_off_pass_epa,fav_def_pass_epa,dog_off_pass_epa,dog_def_pass_epa,matchup_pass_epa_diff,fav_off_rush_epa,fav_def_rush_epa,dog_off_rush_epa,dog_def_rush_epa,matchup_rush_epa_diff,matchup_rp_epa_diff
2,Broncos @ Colts,Colts,Broncos,3.5,1,-2.5,True,False,0.23,-0.03,0.07,-0.07,0.12,0.12,0.27,-0.04,0.09,-0.08,0.14,0.16,-0.02,0.05,-0.06,0.07,0.10500000000000001
2,Falcons @ Vikings,Vikings,Falcons,1.5,-16,-17.5,True,False,-0.11,-0.04,-0.06,-0.02,-0.03,-0.03000000000000011,-0.09,-0.08,-0.07,-0.07,-0.009999999999999981,-0.14,0.02,-0.05,0.03,-0.08000000000000002,-0.045
2,Buccaneers @ Texans,Buccaneers,Texans,1.5,1,-0.5,True,False,0.02,-0.08,0.02,-0.13,-0.05,-0.04999999999999999,0.05,-0.06,0.05,-0.21,-0.14999999999999997,-0.03,-0.1,-0.03,-0.01,0.09,-0.029999999999999985
2,Chargers @ Raiders,Chargers,Raiders,3.0,11,8.0,False,True,0.03,-0.01,-0.18,0.04,0.26,0.26,0.04,0.01,-0.12,0.15,0.3,0.01,0.0,-0.26,-0.13,0.14,0.22
3,Dolphins @ Bills,Bills,Dolphins,12.5,10,-2.5,True,False,0.16,-0.02,-0.01,0.11,0.30000000000000004,0.3,0.17,-0.07,-0.02,0.17,0.43000000000000005,0.13,0.04,0.0,0.04,0.13,0.28
3,Packers @ Browns,Packers,Browns,8.5,-3,-11.5,True,False,0.17,-0.02,-0.18,-0.07,0.3,0.29999999999999993,0.31,0.02,-0.27,0.03,0.59,0.01,-0.08,-0.02,-0.2,-0.09,0.25
3,Colts @ Titans,Colts,Titans,3.5,21,17.5,False,True,0.23,-0.03,-0.21,0.1,0.5700000000000001,0.5700000000000001,0.27,-0.04,-0.26,0.18,0.75,0.16,-0.02,-0.11,0.01,0.30000000000000004,0.525
3,Bengals @ Vikings,Vikings,Bengals,3.0,38,35.0,False,True,-0.11,-0.04,-0.05,0.17,0.15000000000000002,0.15,-0.09,-0.08,-0.1,0.24,0.32999999999999996,-0.14,0.02,0.05,0.07,-0.14,0.09499999999999997
3,Steelers @ Patriots,Steelers,Patriots,1.5,7,5.5,False,True,0.05,0.07,0.09,-0.04,-0.15,-0.15,0.09,0.13,0.26,0.0,-0.30000000000000004,-0.01,-0.02,-0.13,-0.11,0.03,-0.135
3,Jets @ Buccaneers,Buccaneers,Jets,7.0,2,-5.0,True,False,0.02,-0.08,-0.05,0.09,0.24,0.24000000000000002,0.05,-0.06,-0.04,0.16,0.31000000000000005,-0.03,-0.1,-0.05,0.02,0.14,0.22500000000000003
3,Falcons @ Panthers,Panthers,Falcons,5.5,-30,-35.5,True,False,-0.05,0.06,-0.06,-0.02,-0.07,-0.0700000000000001,-0.1,0.1,-0.07,-0.07,-0.2,0.01,0.0,-0.05,0.03,0.09,-0.05500000000000001
3,Texans @ Jaguars,Jaguars,Texans,1.5,7,5.5,False,True,-0.01,-0.04,0.02,-0.13,-0.12000000000000001,-0.12,-0.04,-0.02,0.05,-0.21,-0.28,0.05,-0.06,-0.03,-0.01,0.13,-0.07500000000000001
3,Broncos @ Chargers,Chargers,Broncos,2.5,3,0.5,False,True,0.03,-0.01,0.07,-0.07,-0.1,-0.1,0.04,0.01,0.09,-0.08,-0.13999999999999999,0.01,0.0,0.05,-0.06,-0.1,-0.12
3,Cowboys @ Bears,Bears,Cowboys,1.5,17,15.5,False,True,0.02,0.0,0.14,0.15,0.02999999999999997,0.029999999999999902,0.07,0.0,0.21,0.19,0.05000000000000002,-0.05,0.0,0.01,0.1,0.04,0.04500000000000001
3,Chiefs @ Giants,Chiefs,Giants,6.5,13,6.5,False,True,0.17,-0.06,-0.04,0.08,0.35,0.35,0.22,-0.09,-0.05,0.03,0.39,0.07,0.0,-0.02,0.16,0.25,0.32
4,Vikings @ Steelers,Steelers,Vikings,2.5,-3,-5.5,True,False,0.05,0.07,-0.11,-0.04,0.049999999999999996,0.05,0.09,0.13,-0.09,-0.08,-0.030000000000000013,-0.01,-0.02,-0.14,0.02,0.17,0.07
4,Saints @ Bills,Bills,Saints,16.5,12,-4.5,True,False,0.16,-0.02,-0.14,0.0,0.32,0.32,0.17,-0.07,-0.17,0.09,0.5,0.13,0.04,-0.08,-0.11,0.060000000000000005,0.28
4,Browns @ Lions,Lions,Browns,8.5,24,15.5,False,True,0.1,-0.1,-0.18,-0.07,0.31000000000000005,0.30999999999999994,0.23,-0.08,-0.27,0.03,0.6100000000000001,-0.03,-0.13,-0.02,-0.2,-0.08000000000000002,0.265
4,Panthers @ Patriots,Patriots,Panthers,5.5,29,23.5,False,True,0.09,-0.04,-0.05,0.06,0.24,0.24,0.26,0.0,-0.1,0.1,0.45999999999999996,-0.13,-0.11,0.01,0.0,-0.03,0.21499999999999997
4,Chargers @ Giants,Chargers,Giants,6.5,-3,-9.5,True,False,0.03,-0.01,-0.04,0.08,0.16,0.16,0.04,0.01,-0.05,0.03,0.11000000000000001,0.01,0.0,-0.02,0.16,0.19,0.15000000000000002
4,Titans @ Texans,Texans,Titans,7.0,26,19.0,False,True,0.02,-0.13,-0.21,0.1,0.45999999999999996,0.45999999999999996,0.05,-0.21,-0.26,0.18,0.7,-0.03,-0.01,-0.11,0.01,0.1,0.39999999999999997
4,Colts @ Rams,Rams,Colts,3.5,7,3.5,False,True,0.04,-0.1,0.23,-0.03,-0.12,-0.12,0.18,-0.12,0.27,-0.04,-0.010000000000000037,-0.16,-0.04,0.16,-0.02,-0.3,-0.15500000000000003
4,Jaguars @ 49ers,49ers,Jaguars,3.0,-5,-8.0,True,False,0.0,0.03,-0.01,-0.04,-0.06,-0.06,0.07,0.09,-0.04,-0.02,6.938893903907228e-18,-0.11,-0.06,0.05,-0.06,-0.15999999999999998,-0.07999999999999999
4,Bears @ Raiders,Raiders,Bears,1.5,-1,-2.5,True,False,-0.18,0.04,0.02,0.0,-0.24,-0.24,-0.12,0.15,0.07,0.0,-0.33999999999999997,-0.26,-0.13,-0.05,0.0,-0.08000000000000002,-0.21
4,Packers @ Cowboys,Packers,Cowboys,7.0,0,-7.0,True,False,0.17,-0.02,0.14,0.15,0.2,0.1999999999999999,0.31,0.02,0.21,0.19,0.27,0.01,-0.08,0.01,0.1,0.18,0.225
4,Jets @ Dolphins,Dolphins,Jets,2.5,6,3.5,False,True,-0.01,0.11,-0.05,0.09,0.020000000000000004,0.020000000000000018,-0.02,0.17,-0.04,0.16,0.010000000000000009,0.0,0.04,-0.05,0.02,0.030000000000000002,0.020000000000000004
4,Bengals @ Broncos,Broncos,Bengals,7.0,25,18.0,False,True,0.07,-0.07,-0.05,0.17,0.36000000000000004,0.36,0.09,-0.08,-0.1,0.24,0.51,0.05,-0.06,0.05,0.07,0.13,0.32
5,49ers @ Rams,Rams,49ers,5.5,-3,-8.5,True,False,0.04,-0.1,0.0,0.03,0.17,0.17,0.18,-0.12,0.07,0.09,0.32,-0.16,-0.04,-0.11,-0.06,-0.07,0.125
5,Vikings @ Browns,Vikings,Browns,3.5,4,0.5,False,True,-0.11,-0.04,-0.18,-0.07,0.04000000000000001,0.0399999999999999,-0.09,-0.08,-0.27,0.03,0.29000000000000004,-0.14,0.02,-0.02,-0.2,-0.34,-0.024999999999999994
5,Raiders @ Colts,Colts,Raiders,6.5,34,27.5,False,True,0.23,-0.03,-0.18,0.04,0.48,0.48,0.27,-0.04,-0.12,0.15,0.5800000000000001,0.16,-0.02,-0.26,-0.13,0.31000000000000005,0.44500000000000006
5,Giants @ Saints,Saints,Giants,1.5,12,10.5,False,True,-0.14,0.0,-0.04,0.08,-0.02000000000000001,-0.020000000000000018,-0.17,0.09,-0.05,0.03,-0.18,-0.08,-0.11,-0.02,0.16,0.21000000000000002,0.015000000000000013
5,Cowboys @ Jets,Cowboys,Jets,2.5,15,12.5,False,True,0.14,0.15,-0.05,0.09,0.13,0.13000000000000012,0.21,0.19,-0.04,0.16,0.22,0.01,0.1,-0.05,0.02,-0.020000000000000004,0.1
5,Dolphins @ Panthers,Dolphins,Panthers,1.5,-3,-4.5,True,False,-0.01,0.11,-0.05,0.06,-0.010000000000000002,-0.009999999999999995,-0.02,0.17,-0.1,0.1,0.009999999999999995,0.0,0.04,0.01,0.0,-0.05,-0.020000000000000004
5,Lions @ Bengals,Lions,Bengals,10.5,13,2.5,False,True,0.1,-0.1,-0.05,0.17,0.42000000000000004,0.42000000000000004,0.23,-0.08,-0.1,0.24,0.6499999999999999,-0.03,-0.13,0.05,0.07,0.12000000000000001,0.38499999999999995
5,Patriots @ Bills,Bills,Patriots,8.0,-3,-11.0,True,False,0.16,-0.02,0.09,-0.04,0.05,0.04999999999999999,0.17,-0.07,0.26,0.0,-0.01999999999999999,0.13,0.04,-0.13,-0.11,0.11,0.045000000000000005
5,Chiefs @ Jaguars,Chiefs,Jaguars,3.5,-3,-6.5,True,False,0.17,-0.06,-0.01,-0.04,0.2,0.2,0.22,-0.09,-0.04,-0.02,0.33,0.07,0.0,0.05,-0.06,-0.039999999999999994,0.14500000000000002
6,Broncos @ Jets,Broncos,Jets,7.5,2,-5.5,True,False,0.07,-0.07,-0.05,0.09,0.28,0.28,0.09,-0.08,-0.04,0.16,0.37,0.05,-0.06,-0.05,0.02,0.18,0.275
6,Chargers @ Dolphins,Chargers,Dolphins,4.5,2,-2.5,True,False,0.03,-0.01,-0.01,0.11,0.16,0.16,0.04,0.01,-0.02,0.17,0.22000000000000003,0.01,0.0,0.0,0.04,0.05,0.135
6,Patriots @ Saints,Patriots,Saints,3.5,6,2.5,False,True,0.09,-0.04,-0.14,0.0,0.27,0.27,0.26,0.0,-0.17,0.09,0.52,-0.13,-0.11,-0.08,-0.11,-0.04999999999999999,0.23500000000000001
6,Browns @ Steelers,Steelers,Browns,5.0,14,9.0,False,True,0.05,0.07,-0.18,-0.07,0.08999999999999998,0.0899999999999999,0.09,0.13,-0.27,0.03,0.26,-0.01,-0.02,-0.02,-0.2,-0.17,0.045
6,Cowboys @ Panthers,Cowboys,Panthers,3.5,-3,-6.5,True,False,0.14,0.15,-0.05,0.06,0.10000000000000002,0.1000000000000001,0.21,0.19,-0.1,0.1,0.22,0.01,0.1,0.01,0.0,-0.1,0.06
6,Titans @ Raiders,Raiders,Titans,4.5,10,5.5,False,True,-0.18,0.04,-0.21,0.1,0.09,0.09,-0.12,0.15,-0.26,0.18,0.17,-0.26,-0.13,-0.11,0.01,-0.010000000000000009,0.08
6,Bengals @ Packers,Packers,Bengals,14.5,9,-5.5,True,False,0.17,-0.02,-0.05,0.17,0.41000000000000003,0.41000000000000003,0.31,0.02,-0.1,0.24,0.63,0.01,-0.08,0.05,0.07,0.11,0.37
6,49ers @ Buccaneers,49ers,Buccaneers,3.0,-11,-14.0,True,False,0.0,0.03,0.02,-0.08,-0.13,-0.13,0.07,0.09,0.05,-0.06,-0.13,-0.11,-0.06,-0.03,-0.1,-0.12000000000000002,-0.125
6,Lions @ Chiefs,Chiefs,Lions,2.5,13,10.5,False,True,0.17,-0.06,0.1,-0.1,0.03,0.03,0.22,-0.09,0.23,-0.08,0.0,0.07,0.0,-0.03,-0.13,-0.03,-0.015
6,Bills @ Falcons,Bills,Falcons,4.5,-10,-14.5,True,False,0.16,-0.02,-0.06,-0.02,0.22000000000000003,0.2199999999999999,0.17,-0.07,-0.07,-0.07,0.24000000000000002,0.13,0.04,-0.05,0.03,0.17,0.20500000000000002
7,Steelers @ Bengals,Bengals,Steelers,3.5,2,-1.5,True,False,-0.05,0.17,0.05,0.07,-0.2,-0.2,-0.1,0.24,0.09,0.13,-0.29999999999999993,0.05,0.07,-0.01,-0.02,-0.030000000000000002,-0.16499999999999998
7,Rams @ Jaguars,Rams,Jaguars,3.5,28,24.5,False,True,0.04,-0.1,-0.01,-0.04,0.11,0.11000000000000001,0.18,-0.12,-0.04,-0.02,0.32,-0.16,-0.04,0.05,-0.06,-0.23,0.045
7,Saints @ Bears,Bears,Saints,3.5,12,8.5,False,True,0.02,0.0,-0.14,0.0,0.16,0.16,0.07,0.0,-0.17,0.09,0.33,-0.05,0.0,-0.08,-0.11,-0.08,0.125
7,Dolphins @ Browns,Browns,Dolphins,3.5,25,21.5,False,True,-0.18,-0.07,-0.01,0.11,0.010000000000000009,0.010000000000000092,-0.27,0.03,-0.02,0.17,-0.11,-0.02,-0.2,0.0,0.04,0.22,0.055
7,Patriots @ Titans,Patriots,Titans,3.5,18,14.5,False,True,0.09,-0.04,-0.21,0.1,0.44,0.44,0.26,0.0,-0.26,0.18,0.7,-0.13,-0.11,-0.11,0.01,0.09999999999999999,0.39999999999999997
7,Raiders @ Chiefs,Chiefs,Raiders,7.5,31,23.5,False,True,0.17,-0.06,-0.18,0.04,0.45,0.45,0.22,-0.09,-0.12,0.15,0.58,0.07,0.0,-0.26,-0.13,0.2,0.39
7,Panthers @ Jets,Jets,Panthers,3.5,-7,-10.5,True,False,-0.05,0.09,-0.05,0.06,-0.03,-0.030000000000000013,-0.04,0.16,-0.1,0.1,6.938893903907228e-18,-0.05,0.02,0.01,0.0,-0.08,-0.039999999999999994
7,Giants @ Broncos,Broncos,Giants,3.5,1,-2.5,True,False,0.07,-0.07,-0.04,0.08,0.26,0.26,0.09,-0.08,-0.05,0.03,0.25,0.05,-0.06,-0.02,0.16,0.29000000000000004,0.27
7,Colts @ Chargers,Colts,Chargers,3.5,14,10.5,False,True,0.23,-0.03,0.03,-0.01,0.22,0.22,0.27,-0.04,0.04,0.01,0.28,0.16,-0.02,0.01,0.0,0.17,0.22500000000000003
7,Falcons @ 49ers,49ers,Falcons,7.5,10,2.5,False,True,0.0,0.03,-0.06,-0.02,0.009999999999999998,0.009999999999999898,0.07,0.09,-0.07,-0.07,-0.01999999999999999,-0.11,-0.06,-0.05,0.03,0.03,0.0050000000000000044
7,Buccaneers @ Lions,Lions,Buccaneers,7.5,15,7.5,False,True,0.1,-0.1,0.02,-0.08,0.1,0.1,0.23,-0.08,0.05,-0.06,0.2,-0.03,-0.13,-0.03,-0.1,0.03,0.115
7,Vikings @ Chargers,Chargers,Vikings,-3.5,27,30.5,False,True,0.03,-0.01,-0.11,-0.04,0.10999999999999999,0.11000000000000001,0.04,0.01,-0.09,-0.08,0.04,0.01,0.0,-0.14,0.02,0.17,0.10500000000000001
7,Dolphins @ Falcons,Falcons,Dolphins,-7.5,-24,-16.5,True,False,-0.06,-0.02,-0.01,0.11,0.08,0.0800000000000001,-0.07,-0.07,-0.02,0.17,0.19,-0.05,0.03,0.0,0.04,-0.04,0.075
7,Jets @ Bengals,Bengals,Jets,-6.5,-1,5.5,True,False,-0.05,0.17,-0.05,0.09,-0.08000000000000002,-0.07999999999999999,-0.1,0.24,-0.04,0.16,-0.13999999999999999,0.05,0.07,-0.05,0.02,0.05,-0.04499999999999999
7,Browns @ Patriots,Patriots,Browns,-7.0,19,26.0,False,True,0.09,-0.04,-0.18,-0.07,0.24,0.2399999999999999,0.26,0.0,-0.27,0.03,0.56,-0.13,-0.11,-0.02,-0.2,-0.2,0.18000000000000002
7,Bills @ Panthers,Bills,Panthers,-7.5,31,38.5,False,True,0.16,-0.02,-0.05,0.06,0.29000000000000004,0.29,0.17,-0.07,-0.1,0.1,0.44000000000000006,0.13,0.04,0.01,0.0,0.08,0.26
7,49ers @ Texans,Texans,49ers,-1.5,11,12.5,False,True,0.02,-0.13,0.0,0.03,0.18,0.18,0.05,-0.21,0.07,0.09,0.28,-0.03,-0.01,-0.11,-0.06,0.03,0.15500000000000003
7,Buccaneers @ Saints,Buccaneers,Saints,-4.5,20,24.5,False,True,0.02,-0.08,-0.14,0.0,0.24000000000000002,0.24000000000000002,0.05,-0.06,-0.17,0.09,0.37,-0.03,-0.1,-0.08,-0.11,0.03999999999999998,0.205
7,Cowboys @ Broncos,Broncos,Cowboys,-3.5,20,23.5,False,True,0.07,-0.07,0.14,0.15,0.15,0.1499999999999999,0.09,-0.08,0.21,0.19,0.15000000000000002,0.05,-0.06,0.01,0.1,0.2,0.17500000000000002
7,Titans @ Colts,Colts,Titans,-14.0,24,38.0,False,True,0.23,-0.03,-0.21,0.1,0.5700000000000001,0.5700000000000001,0.27,-0.04,-0.26,0.18,0.75,0.16,-0.02,-0.11,0.01,0.30000000000000004,0.525
7,Packers @ Steelers,Packers,Steelers,-3.0,10,13.0,False,True,0.17,-0.02,0.05,0.07,0.21000000000000002,0.21,0.31,0.02,0.09,0.13,0.33,0.01,-0.08,-0.01,-0.02,0.08,0.20500000000000002
