team,team_name,epa_off_per_play,epa_pass_off,epa_rush_off,total_epa_off,success_rate_off,source_off,epa_def_allowed_per_play,epa_pass_def_allowed,epa_rush_def_allowed,total_epa_def_allowed,success_rate_def,source_def,net_epa_per_play,net_epa_pass,net_epa_rush,last_updated,source
GB,Packers,0.02,0.05,-0.06,4.81,0.4241,sumersports_offensive_manual,0.02,0.05,-0.06,4.81,0.4241,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
HOU,Texans,-0.12,-0.19,-0.01,-33.02,0.4093,sumersports_offensive_manual,-0.12,-0.19,-0.01,-33.02,0.4093,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
IND,Colts,-0.05,-0.05,-0.05,-18.56,0.4703,sumersports_offensive_manual,-0.05,-0.05,-0.05,-18.56,0.4703,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
JAX,Jaguars,-0.07,-0.06,-0.06,-24.13,0.4246999999999999,sumersports_offensive_manual,-0.07,-0.06,-0.06,-24.13,0.4246999999999999,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
KC,Chiefs,0.01,-0.03,0.07,3.84,0.4663,sumersports_offensive_manual,0.01,-0.03,0.07,3.84,0.4663,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
LA,Rams,-0.08,-0.1,-0.06,-32.99,0.4221,sumersports_offensive_manual,-0.08,-0.1,-0.06,-32.99,0.4221,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
LAC,Chargers,-0.02,-0.06,0.05,-6.46,0.4131,sumersports_offensive_manual,-0.02,-0.06,0.05,-6.46,0.4131,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
LV,Raiders,0.0,0.09,-0.14,-1.06,0.437,sumersports_offensive_manual,0.0,0.09,-0.14,-1.06,0.437,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
MIA,Dolphins,0.21,0.25,0.14,75.94,0.5082,sumersports_offensive_manual,0.21,0.25,0.14,75.94,0.5082,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
MIN,Vikings,-0.14,-0.31,0.05,-40.89,0.4094,sumersports_offensive_manual,-0.14,-0.31,0.05,-40.89,0.4094,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
NE,Patriots,0.04,0.15,-0.13,12.71,0.4735,sumersports_offensive_manual,0.04,0.15,-0.13,12.71,0.4735,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
NO,Saints,0.01,0.12,-0.11,3.8,0.4484,sumersports_offensive_manual,0.01,0.12,-0.11,3.8,0.4484,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
NYG,Giants,0.04,0.02,0.07,15.75,0.4576,sumersports_offensive_manual,0.04,0.02,0.07,15.75,0.4576,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
NYJ,Jets,0.11,0.21,-0.02,38.24,0.3961,sumersports_offensive_manual,0.11,0.21,-0.02,38.24,0.3961,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
PHI,Eagles,-0.01,-0.03,0.02,-3.59,0.4453,sumersports_offensive_manual,-0.01,-0.03,0.02,-3.59,0.4453,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
PIT,Steelers,-0.01,0.02,-0.05,-2.81,0.439,sumersports_offensive_manual,-0.01,0.02,-0.05,-2.81,0.439,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
SEA,Seahawks,0.01,0.02,-0.01,2.8,0.4484,sumersports_offensive_manual,0.01,0.02,-0.01,2.8,0.4484,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
SF,49ers,0.01,0.02,-0.01,3.8,0.4484,sumersports_offensive_manual,0.01,0.02,-0.01,3.8,0.4484,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
TB,Buccaneers,0.01,0.02,-0.01,3.8,0.4484,sumersports_offensive_manual,0.01,0.02,-0.01,3.8,0.4484,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
TEN,Titans,0.04,0.12,-0.06,13.98,0.4228,sumersports_offensive_manual,0.04,0.12,-0.06,13.98,0.4228,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
WAS,Commanders,0.03,0.07,-0.02,11.5,0.4293,sumersports_offensive_manual,0.03,0.07,-0.02,11.5,0.4293,sumersports_defensive_correct,0.0,0.0,0.0,2025-10-16 17:35:16.657204,sumersports_combined_manual
